"gender","year","home_team","away_team","home_score","home_xg","home_penalty","away_score","away_xg","away_penalty","home_manager","away_manager","attendance","venue","round","date","score","referee"
"M",2022,"IR Iran","United States",0,0.4,NA,1,1.2,NA,"Carlos Queiroz","Gregg Berhalter",42127,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-29","0–1","Antonio Matéu"
"M",2022,"Wales","England",0,0.3,NA,3,2.4,NA,"Rob Page","Gareth Southgate",44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-29","0–3","Slavko Vinčič"
"M",2022,"Cameroon","Serbia",3,2.2,NA,3,1.9,NA,"Rigobert Song","Dragan Stojković",39789,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-28","3–3","Mohammed Abdulla Hassan"
"M",2022,"Korea Republic","Ghana",2,1.8,NA,3,1.6,NA,"Paulo Bento","Otto Addo",43983,"Education City Stadium, Doha","Group stage","2022-11-28","2–3","Anthony Taylor"
"M",2022,"Brazil","Switzerland",1,1,NA,0,0.3,NA,"Tite","Murat Yakin",43649,"Stadium 974, Doha","Group stage","2022-11-28","1–0","Iván Barton"
"M",2022,"Portugal","Uruguay",2,1.3,NA,0,1.3,NA,"Fernando Santos","Diego Alonso",88668,"Lusail Iconic Stadium, Lusail","Group stage","2022-11-28","2–0","Alireza Faghani"
"M",2022,"Japan","Costa Rica",0,0.9,NA,1,0.1,NA,"Hajime Moriyasu","Luis Fernando Suárez",41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-27","0–1","Michael Oliver"
"M",2022,"Belgium","Morocco",0,1,NA,2,1.5,NA,"Roberto Martínez","Hoalid Regragui",43738,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-27","0–2","César Arturo Ramos"
"M",2022,"Croatia","Canada",4,2.6,NA,1,0.4,NA,"Zlatko Dalić","John Herdman",44374,"Khalifa International Stadium, Doha","Group stage","2022-11-27","4–1","Andrés Matonte"
"M",2022,"Spain","Germany",1,0.6,NA,1,1.3,NA,"Luis Enrique","Hansi Flick",68895,"Al Bayt Stadium, Al Khor","Group stage","2022-11-27","1–1","Danny Makkelie"
"M",2022,"Tunisia","Australia",0,0.9,NA,1,0.6,NA,"Jalel Kadri","Graham Arnold",41823,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-26","0–1","Daniel Siebert"
"M",2022,"Poland","Saudi Arabia",2,1.6,NA,0,1.7,NA,"Czesław Michniewicz","Hervé Renard",44259,"Education City Stadium, Doha","Group stage","2022-11-26","2–0","Wilton Sampaio"
"M",2022,"France","Denmark",2,2.4,NA,1,0.6,NA,"Didier Deschamps","Kasper Hjulmand",42860,"Stadium 974, Doha","Group stage","2022-11-26","2–1","Szymon Marciniak"
"M",2022,"Argentina","Mexico",2,0.3,NA,0,0.3,NA,"Lionel Scaloni","Tata Martino",88966,"Lusail Iconic Stadium, Lusail","Group stage","2022-11-26","2–0","Daniele Orsato"
"M",2022,"Wales","IR Iran",0,0.9,NA,2,1.4,NA,"Rob Page","Carlos Queiroz",40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī","Group stage","2022-11-25","0–2","Mario Escobar"
"M",2022,"Qatar","Senegal",1,1,NA,3,0.8,NA,"Félix Sánchez","Aliou Cissé",41797,"Al Thumama Stadium, ath-Thumāma","Group stage","2022-11-25","1–3","Antonio Matéu"
"M",2022,"Netherlands","Ecuador",1,0.1,NA,1,1.7,NA,"Louis van Gaal","Gustavo Alfaro",44833,"Khalifa International Stadium, Doha","Group stage","2022-11-25","1–1","Mustapha Ghorbal"
"M",2022,"England","United States",0,0.8,NA,0,0.6,NA,"Gareth Southgate","Gregg Berhalter",68463,"Al Bayt Stadium, Al Khor","Group stage","2022-11-25","0–0","Jesús Valenzuela"
"M",2022,"Switzerland","Cameroon",1,1.4,NA,0,0.7,NA,"Murat Yakin","Rigobert Song",39089,"Al Janoub Stadium, Al Wakrah","Group stage","2022-11-24","1–0","Facundo Tello"
"M",2022,"Uruguay","Korea Republic",0,0.6,NA,0,0.6,NA,"Diego Alonso","Paulo Bento",41663,"Education City Stadium, Doha","Group stage","2022-11-24","0–0","Clément Turpin"
"M",2022,"Portugal","Ghana",3,2,NA,2,0.9,NA,"Fernando Santos","Otto Addo",42662,"Stadium 974, Doha","Group stage","2022-11-24","3–2","Ismail Elfath"
"M",2022,"Brazil","Serbia",2,2.4,NA,0,0.2,NA,"Tite","Dragan Stojković",88103,"Lusail Iconic Stadium, Lusail","Group stage","2022-11-24","2–0","Alireza Faghani"
"M",2022,"Morocco","Croatia",0,0.4,NA,0,0.5,NA,"Hoalid Regragui","Zlatko Dalić",59407,"Al Bayt Stadium, Al Khor","Group stage","2022-11-23","0–0","Fernando Rapallini"
"M",2022,"Germany","Japan",1,3.1,NA,2,1.5,NA,"Hansi Flick","Hajime Moriyasu",42608,"Khalifa International Stadium, Doha","Group stage","2022-11-23","1–2","Iván Barton"
